antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"adr_bucket=A4, lead_time_bucket=91-180",market_segment=Online TA,0.05436670050080111,0.4731857493981159,0.03326091150835927,0.6117883042740319,1.2929136286378362,1.0,0.00753536358958477,1.3570282822538995,0.2395782059918045,0.06729006856289457,0.2630956826197523,0.3410398761477945
"adr_bucket=A5, is_canceled=1",customer_type=Transient,0.0736941002776636,0.7505809125149947,0.07148789101494014,0.9700626067159931,1.292415768295485,1.0,0.016174505981559874,8.331356211238653,0.24425536392904454,0.09496428531630616,0.8799715226854613,0.5326530119725971
adr_bucket=A4,"customer_type=Transient, hotel=City Hotel",0.20199817127901418,0.497210781065188,0.1297301378251642,0.642234219269103,1.2916739614801338,1.0,0.029294469309785937,1.4053586061462882,0.28297030883212315,0.22780502894515886,0.2884378438168493,0.4515749986884049
"lead_time_bucket=181-365, market_segment=Groups",reserved_room_type=A,0.05841001937773155,0.7203482958501456,0.054341534615674994,0.9303461151802385,1.2915226155734236,1.0,0.012265976696352092,4.0148759092689446,0.2397222845510173,0.07501418530055468,0.7509262994426926,0.5028919880913303
market_segment=Corporate,is_canceled=0,0.04430873507872728,0.6292310144368294,0.0359956043587313,0.8123816736084816,1.2910706163070722,1.0,0.00811517403673101,1.9761874689653547,0.23590152686360957,0.05645978342390232,0.4939751335820603,0.4347936897571804
"adr_bucket=A3, lead_time_bucket=91-180",hotel=City Hotel,0.04703503930072394,0.6640689880797591,0.04031574797204909,0.8571428571428572,1.2907436915875201,1.0,0.009081237019325644,2.351517083441687,0.23637054511951078,0.060102045920664295,0.5747426174185403,0.45892651870191886
"is_family_trip=0, market_segment=Corporate",is_canceled=0,0.04388930365995856,0.6292310144368294,0.035609727453464086,0.8113532110091745,1.2894361409304451,1.0,0.007993216388582313,1.9654137107056842,0.23477115880827867,0.055857468057949666,0.49120126996521823,0.4339728326742979
"distribution_channel=TA/TO, hotel=Resort Hotel",market_segment=Online TA,0.24259074398745062,0.4731857493981159,0.14798379316997878,0.6100141775303434,1.2891643045173504,1.0,0.03319331017923048,1.3508548779177056,0.29614595222271567,0.2606299677924534,0.2597280312290362,0.4613767526426359
market_segment=Direct,"deposit_type=No Deposit, meal=BB",0.10554572221895998,0.6681290842134403,0.090890788447181,0.8611508504212366,1.2888989130521575,1.0,0.020372621718381112,2.390154471909841,0.25059298247024764,0.1331179202398211,0.5816169993393963,0.4985943085332796
market_segment=Corporate,"deposit_type=No Deposit, is_canceled=0",0.04430873507872728,0.6273939048226225,0.035785888649346946,0.8076486179477471,1.2873070836990144,1.0,0.007986858330553133,1.9371116089831777,0.23353208580102156,0.0562744865249911,0.4837674838338733,0.4323437832421679
"market_segment=Corporate, meal=BB",is_canceled=0,0.04317627024805174,0.6292310144368294,0.034955414440184886,0.8095978239751311,1.2866464071224026,1.0,0.007787566112404592,1.9472938456057542,0.23283880061070278,0.05483616265298066,0.48646682047673956,0.4325752084813664
adr_bucket=A4,"deposit_type=No Deposit, hotel=City Hotel",0.20199817127901418,0.5559563455779345,0.14429279668481407,0.714327242524917,1.2848621087009104,1.0,0.03199063156710766,1.5543787176164179,0.27782688941469014,0.23513410066435195,0.3566561426333327,0.4869335194140994
"adr_bucket=A1, lead_time_bucket=181-365",reserved_room_type=A,0.04376347423432794,0.7203482958501456,0.04050029779630732,0.9254360743722446,1.284706411750523,1.0,0.008975353711127433,3.7504959911305686,0.2317544209994997,0.055969673432953476,0.7333685991493208,0.49082964516078226
"customer_type=Transient-Party, hotel=City Hotel",reserved_room_type=A,0.14515682540747762,0.7203482958501456,0.1343103289181186,0.9252773925104021,1.2844861268372987,1.0,0.02974685710482497,3.742531391035632,0.25908676365049066,0.1836861125451729,0.7328011723842134,0.5558646604810256
"adr_bucket=A1, is_canceled=1",reserved_room_type=A,0.06999471516412352,0.7203482958501456,0.06475182242951455,0.9250958772770852,1.2842341442417091,1.0,0.014331248642521825,3.73346211108221,0.23798337452708412,0.08924008925165033,0.7321520962991286,0.5074927402036628
meal=SC,"customer_type=Transient, is_repeated_guest=0",0.08849164073182395,0.7252388661929888,0.08238471927455142,0.9309887193098871,1.2836994302262719,1.0,0.018207142082646108,3.981394506222745,0.24245685043710716,0.11264810800270694,0.7488317225441881,0.5222926940485587
"deposit_type=No Deposit, lead_time_bucket=31-90",market_segment=Online TA,0.2274576583982753,0.4731857493981159,0.13796777088978182,0.6065646321224415,1.2818742595143264,1.0,0.03033804834425327,1.3390109116113693,0.28463460547616126,0.24519947522213612,0.2531800963469392,0.44906837477629663
lead_time_bucket=0,"deposit_type=No Deposit, meal=BB",0.05254636814334488,0.6681290842134403,0.044996602605507974,0.8563218390804598,1.2816712508310737,1.0,0.009888845779152666,2.3098215738744554,0.2319572304747723,0.06659465901895786,0.567066126963817,0.46183450423268535
"deposit_type=Non Refund, lead_time_bucket=91-180",customer_type=Transient,0.03428432417015494,0.7505809125149947,0.032967309515221165,0.9615855150477123,1.281121727204197,1.0,0.007234150194626383,6.492839557651065,0.2272242793384851,0.0438454587038256,0.8459841813245462,0.5027539538223049
reserved_room_type=D,"deposit_type=No Deposit, meal=BB",0.16088550361130452,0.6681290842134403,0.13753995084263773,0.8548933729600083,1.279533241643623,1.0,0.030047666651598706,2.287083109547405,0.26035184748308127,0.19890816450321486,0.562761844628422,0.5303758614646238
"deposit_type=No Deposit, lead_time_bucket=1-30",is_canceled=0,0.2658440218439883,0.6292310144368294,0.21396874397067336,0.8048657347511912,1.2791259748560826,1.0,0.04669144042381396,1.900071138661455,0.2972340747282623,0.31414882873118705,0.47370391578892623,0.5724568641760222
"customer_type=Transient-Party, hotel=Resort Hotel",is_canceled=0,0.0652886946455385,0.6292310144368294,0.05254636814334488,0.8048310420146473,1.2790708397216917,1.0,0.011464696580276296,1.8997333868585626,0.2334223116286147,0.08185132433456599,0.47361034610566055,0.44416995374962465
stay_bucket=1,"is_canceled=0, meal=BB",0.17620313902473805,0.4842671274819854,0.10911088927849408,0.6192335158295644,1.2787023539040439,1.0,0.023781501289675253,1.354459738339697,0.2645763612958795,0.19789432044669622,0.2616982463976341,0.42227244223288923
"is_canceled=1, market_segment=Online TA",customer_type=Transient,0.173938209363387,0.7505809125149947,0.16693370466994942,0.9597299252471666,1.2786495223164813,1.0,0.0363790047647542,6.193658417965967,0.26381181860314007,0.22034968054832743,0.8385445349877066,0.5910679667811227
"adr_bucket=A3, distribution_channel=TA/TO",hotel=City Hotel,0.17097702354687985,0.6640689880797591,0.1451064936372254,0.8486900206064175,1.2780148385795185,1.0,0.031565954625559736,2.2201510651615934,0.26240101629716295,0.21031770155750362,0.5495801994324133,0.5336005968777449
reserved_room_type=D,"customer_type=Transient, meal=BB",0.16088550361130452,0.5925055994094406,0.1217861067536847,0.7569737733979873,1.2775807927426757,1.0,0.026460545000178998,1.6767507206449983,0.25892847519762524,0.19282004967261232,0.4036084268892824,0.4812590013212612
"deposit_type=No Deposit, stay_bucket=4-7",market_segment=Online TA,0.2966386766099875,0.4731857493981159,0.1790720499291161,0.6036706068661275,1.2757582146841617,1.0,0.03870685543695382,1.3292333592425134,0.3073134737181146,0.30312539937236416,0.24768665107090962,0.4910549176721788
"is_canceled=1, stay_bucket=2-3",hotel=City Hotel,0.19719987584830004,0.6640689880797591,0.16705114546720465,0.8471158754466565,1.2756443843224798,1.0,0.03609682346316992,2.197291660606851,0.26916097732700844,0.24063221238082577,0.5448942814793105,0.5493363948308153
